BearID,year,MatLitID,sex,age,repro,N15,mass,headcirc,cort.kit,dam,Family.ID,cort,C13.suess,condition,fYEAR,fAGE,LitCort,LitCond,LitNit,MatCort,MatCond,Matd15N,CortRat,CondRat,NitRat
W0618,2006,,M,2,WithMother,4.65,50,50,1,W9403,W9403.2006,3.3454,-23.258,1,2006,2,3.82,0.93,4.69,,,,0.875759162,1.075268817,0.991471215
W0619,2006,,M,2,WithMother,4.72,42,49,1,W9403,W9403.2006,4.2862,-23.378,0.857142857,2006,2,3.82,0.93,4.69,,,,1.122041885,0.921658986,1.006396588
W9403,2008,W9403.2008,F,16,WithCubs,4.08,92,63,2,W8808,W9403.2008,8.18,-23.184,1.46031746,2008,16,11.05,0.39,4.79,8.18,1.46,4.08,0.740271493,3.744403744,0.85177453
W0908,2008,,M,1,WithMother,4.43,14,40,2,W9403,W9403.2008,13,-23.664,0.35,2008,1,11.05,0.39,4.79,,,,1.176470588,0.897435897,0.924843424
W0909,2008,,M,1,WithMother,4.89,19,40,2,W9403,W9403.2008,10.39,-23.684,0.475,2008,1,11.05,0.39,4.79,,,,0.940271493,1.217948718,1.020876827
W0907,2008,,M,1,WithMother,5.04,13,39,2,W9403,W9403.2008,9.76,-23.624,0.333333333,2008,1,11.05,0.39,4.79,,,,0.883257919,0.854700854,1.052192067
W9403,2009,W9403.2009,F,17,WithCubs,4.52,87,57,2,W8808,W9403.2009,7.72,-23.082,1.526315789,2009,17,6.24,0.73,4.59,7.72,1.53,4.52,1.237179487,2.090843547,0.984749455
W0907,2009,,M,2,WithMother,4.54,27,44,2,W9403,W9403.2009,6.46,-23.402,0.613636364,2009,2,6.24,0.73,4.59,,,,1.03525641,0.840597759,0.989106754
W0908,2009,,M,2,WithMother,4.55,33,42,2,W9403,W9403.2009,5.52,-23.522,0.785714286,2009,2,6.24,0.73,4.59,,,,0.884615385,1.07632094,0.991285403
W0909,2009,,M,2,WithMother,4.68,35,45,2,W9403,W9403.2009,6.74,-23.422,0.777777778,2009,2,6.24,0.73,4.59,,,,1.080128205,1.065449011,1.019607843
W9403,2012,W9403.2012,F,20,WithCubs,5.18,93,62.5,2,W8808,W9403.2012,5.69,-23.166,1.488,2012,20,10.23,0.48,5.56,5.69,1.49,5.18,0.556207234,3.1,0.931654676
W1303,2012,,F,1,WithMother,5.46,19,40.5,2,W9403,W9403.2012,7.66,-23.246,0.469135802,2012,1,10.23,0.48,5.56,,,,0.748778104,0.977366254,0.982014388
W1304,2012,,F,1,WithMother,5.66,19,39,2,W9403,W9403.2012,12.79,-23.206,0.487179487,2012,1,10.23,0.48,5.56,,,,1.250244379,1.014957265,1.017985612
W9404,1998,W9404.1998,F,6,WithCubs,4.05,89,57,1,W9008,W9404.1998,4.3254,-22.954,1.561403509,1998,6,3.9,0.58,4.44,4.3254,1.56,4.05,1.109076923,2.692075016,0.912162162
W9915,1998,,M,1,WithMother,4.31,26,42,1,W9404,W9404.1998,3.2768,-22.904,0.619047619,1998,1,3.9,0.58,4.44,,,,0.840205128,1.067323481,0.970720721
W9913,1998,,F,1,WithMother,4.34,23,40,1,W9404,W9404.1998,4.1686,-22.974,0.575,1998,1,3.9,0.58,4.44,,,,1.068871795,0.99137931,0.977477477
W9914,1998,,F,1,WithMother,4.67,22,41,1,W9404,W9404.1998,4.2568,-22.824,0.536585366,1998,1,3.9,0.58,4.44,,,,1.091487179,0.925147183,1.051801802
W9404,2001,W9404.2001,F,9,WithCubs,4.11,104,64,1,W9008,W9404.2001,4.2176,-23.188,1.625,2001,9,5.82,0.55,4.53,4.2176,1.63,4.11,0.72467354,2.954545455,0.907284768
W0222,2001,,M,1,WithMother,4.42,23,41.5,1,W9404,W9404.2001,6.2462,-23.148,0.554216867,2001,1,5.82,0.55,4.53,,,,1.073230241,1.007667031,0.975717439
W0221,2001,,F,1,WithMother,4.46,23,40,1,W9404,W9404.2001,5.1976,-23.178,0.575,2001,1,5.82,0.55,4.53,,,,0.893058419,1.045454545,0.984547461
W0223,2001,,F,1,WithMother,4.7,21,40,1,W9404,W9404.2001,6.0306,-23.038,0.525,2001,1,5.82,0.55,4.53,,,,1.036185567,0.954545455,1.037527594
W9502,1999,W9502.1999,F,6,WithCubs,4.97,104,63,1,W9308,W9502.1999,3.8746,-22.792,1.650793651,1999,6,3.8,0.94,5.83,3.8746,1.65,4.97,1.019631579,1.756163459,0.852487136
W0009,1999,,M,1,WithMother,5.83,37,39.5,1,W9502,W9502.1999,3.7962,-23.072,0.936708861,1999,1,3.8,0.94,5.83,,,,0.999,0.996498788,1
